,id,location.address,location.city,location.lat,location.lng,location.postalCode,location.state,name,stats.tipCount,stats.usersCount,tips
0,49f2b061f964a5205e6a1fe3,2742 Alki Ave SW,Seattle,47.57883826,-122.411199,98116,WA,Starbucks,19,1553,"['Absolutely incredible view, in my opinion the best in all of Seattle! Just take some time to get your coffee and relax. You can sit outside or near one of the sliding windows!', 'Great views of the beach! Lots of places to plug in laptops. Lots of seating, even sit by the fireplace.', ""Sunday's on alki in the summer are very busy, this place is no exception. Sorely understaffed on a Sunday night. Long wait just to order. 😕"", 'Nicest people work this Starbucks. Best view in town & Relaxing atmosphere.', ""As a Londoner, this is definitely the best view I've ever seen from a Starbucks window!"", 'A fantastic location with a great atmosphere on a Saturday night.', 'Really friendly customer service! Loved it!', 'Nice spot to watch the water while reading a book or working on your laptop.', 'This location is great! Only thing better would be a Starbucks on the top of the Space Needle.  Like Dr. Evil.', ""Try the iced passionfruit lemonade. You won't be disappointed."", 'The big overstuffed chairs are the best.', 'Coffee, beach views? Yes please!', 'Fantastic chicken and avocado sandwich!', ""Get your drink 'for here', sit and enjoy the view."", 'Nitro cold brew is damn fine', 'Life goes much slower here at the beach.', 'Doggy paradise', 'Coffee with a view', 'Caramel Brulée Latte!']"
1,44e9c5fff964a520b1371fe3,2726 Alki Ave SW,Seattle,47.57912976949021,-122.41051143046558,98116,WA,Alki Cafe,17,991,"[""If you can,sit in Hesper's section. She gives excellent service."", ""Bloody Mary's and mimosas on the cheap. Perfect for weekend brunch!"", 'Salmon Benny or French toast are always good.', ""Bloody Mary's are in! Do the right thing and upgrade to a Bloody Maria. That means tequila instead of vodka."", 'huevos rancheros is bomb! So is the fresh squeezed juice!', 'Amazing location, grab some coffee and take a walk on the beach.', 'The apple cinnamon sausages are awesome sauce.', 'Smoked salmon Benedict and Bloody Mary was great!!', 'Cashew chicken salad  (sandwich) is a must!!', 'All about the gingerbread grill cakes', 'Smoked Salmon Benedict. So, so good.', 'Ditto. The Cafe Benedict is a not-to-be-missed!', ""I wasn't impressed. Bene doesn't even use traditional Hollandaise sauce. Even the scrambled eggs are ocercooked."", 'Followed the Cafe Benedict tip.  Awesome!!!', 'Hit the Cinnamon Rolls!', 'Farmers breakfast wow so delish!!!!', 'Cafe benedict +1']"
2,4a92fd5cf964a520671e20e3,2676 Alki Ave SW,Seattle,47.579351919457494,-122.40912553471102,98116,WA,Tully's Coffee,9,895,"[""In addition to the great coffee, there's a pleasant ambience when the older folks aren't blabbering away in groups of twenty. The fireplace makes the lobby along with the view."", 'I love this place. Quiet small and quaint. Plus views of the beach from outside. Service is always excellent', 'The orange vanilla-creme Crodelle is tasty if your sweet-tooth needs some attention.', 'Official winter hours are Monday to Sunday 6:00 AM to 7:0 PM.', ""Skip Starbucks and go to Tully's. Great coffee and tea lattes!"", 'Coffee place around Seattle ...', 'Good pastries, terrible coffee. Yup, pretty much sums it up', 'Outdoor seating is great for people watching on Alki', 'Duplicate venue.']"
3,4b735016f964a520fba72de3,6222 Seaview Ave NW,Seattle,47.674534,-122.406028,98107,WA,Makai Coffee,0,13,[]
4,51bb6eab498e04509f1f1b40,2536 Alki Ave SW,Seattle,47.580447078344314,-122.40672795397765,98116,WA,Ampersand Cafe,7,339,"['Craft coffee drinks, cider, beer & wine. Try the orange or guava mimosa!', 'Serves coffee, beer and wine with sandwiches, breakfast and desserts.', 'Great steamers, cute location. Quiet environment.', 'Cafe with a great vibe.', 'The cinnamon rolls are good start before a walk on the beach.', 'Mini breakfast sandwiches are snack size', 'Great people watching.']"
5,53c48b39498e9be7a57dfece,7001 Seaview Ave NW #170,Seattle,47.68056106567383,-122.40470886230469,98117,WA,Jibe Espresso Bar,3,52,"['Sandwiches and pastries made in house. With a very convenient location for your trip to Golden Gardens or Shilshole Marina.', 'Great coffee and the best store-baked muffins! You can get your order to go and sit outside at the marina', 'Gluten free cookies and homemade almond milk in my espresso']"
6,50668f9ee4b0846a5a21fec6,,Seattle,47.649036,-122.403293,98199,WA,Wilbari Manor,0,3,[]
7,4ff087e3e4b03357dc899de7,,Seattle,47.65924709519783,-122.40144520441235,98199,WA,Stan's Beans Coffee & Treats,1,2,"['Best beans around, except when you get the occasional dog hair in your mouth...']"
8,59ac354679187134d03487ad,,Seattle,47.655309,-122.400618,98199,WA,Espresso Bar,0,2,[]
9,4af9b158f964a520651322e3,6408 32nd Ave NW,Seattle,47.67559814556477,-122.39826398882187,98107,WA,The Scoop at Walter's,7,180,"[""Snoqualmie ice cream, decent espresso, and apparently beer. What's not to like?"", 'Grab a beer and relax in a quiet backyard.', 'If you have a great flavor idea they might convince Snoqualmie to make it.', 'Local,espresso, mukelteo mud', ""Walter's takes credit and debit cards now!"", ""They don't take cards! Watch out!"", 'Ice cream win']"
10,539dd8c9498e709d5f04fa49,6415 32nd Ave NW,Seattle,47.67567412366766,-122.39838671984012,98107,WA,Pico Café,3,50,"['Various breads baked in-house available daily. Pastries and treats available along with entrées to go. The caprese panini larger than expected and hit the spot.', 'The sandwiches are amazing here.', 'Cafe er billig og god.']"
11,56a3d7e6498e0d9960d6619a,,Seattle,47.675592,-122.39824,,WA,Walter's,0,19,[]
12,4b795e1bf964a52011f62ee3,3103 W Jameson St,Seattle,47.65987526041342,-122.3980593855696,98199,WA,Discovery Espresso,3,65,"['Roasted Pasilla Chile breakfast Sammy is awesome-an served all day!', 'Super cozy, local spot', 'They do Hot Chocolate as well as Coffee']"
